,Open,High,Low,Close,Volume,8_EMA,200_SMA
2000-09-14,97.56,97.56,95.81,95.94,2079600,95.40695725727342,87.5149
2000-09-15,95.44,95.94,94.94,95.0,3132400,95.31652231121267,87.4774
2000-09-18,92.75,93.75,91.88,92.13,3821400,94.6084062420543,87.43754999999999
2000-09-19,91.81,92.5,91.19,91.81,1969200,93.98653818826446,87.41035
2000-09-20,91.88,92.75,90.31,91.08,2728700,93.34064081309458,87.3817
2000-09-21,91.06,94.5,91.06,94.25,2924800,93.5427206324069,87.38605
2000-09-22,95.5,96.56,94.61,95.88,2757700,94.06211604742758,87.4094
2000-09-25,95.81,96.44,94.81,95.86,1989100,94.4616458146659,87.42245000000001
2000-09-26,95.81,96.31,93.56,94.5,2276100,94.47016896696236,87.42305
2000-09-27,94.44,95.69,93.44,95.09,2153900,94.60790919652628,87.43260000000001
2000-09-28,95.31,96.44,92.94,93.38,3150600,94.3350404861871,87.42855
2000-09-29,93.25,95.19,92.75,93.94,2630800,94.24725371147885,87.4249
2000-10-02,94.19,94.25,92.25,93.19,2103600,94.01230844226133,87.41770000000001
2000-10-03,93.06,93.81,91.94,92.5,2198800,93.67623989953658,87.4058
2000-10-04,92.0,93.75,90.31,90.31,3425000,92.92818658852845,87.39745
2000-10-05,91.5,93.75,91.13,93.06,3236100,92.95747845774434,87.40775
2000-10-06,92.94,94.13,91.25,92.31,2336400,92.81359435602337,87.41149999999999
2000-10-09,92.31,93.0,91.25,91.31,1457000,92.47946227690707,87.39025
2000-10-10,92.38,95.0,91.56,94.63,3051800,92.9573595487055,87.37464999999999
2000-10-11,95.19,96.25,94.38,96.0,3941100,93.63350187121539,87.37745
2000-10-12,95.81,97.5,94.63,97.0,4639300,94.38161256650085,87.40025
2000-10-13,97.13,97.5,95.63,95.81,4552800,94.69903199616732,87.4118
2000-10-16,95.81,97.31,95.38,96.94,2800800,95.19702488590792,87.43025
2000-10-17,96.0,97.44,95.38,97.06,4512100,95.61101935570616,87.45459999999999
2000-10-18,95.5,96.75,94.06,94.25,3524400,95.30857060999368,87.4818
2000-10-19,92.5,93.56,90.88,91.75,5479500,94.5177771411062,87.4896
2000-10-20,91.5,92.75,91.06,91.88,3126000,93.93160444308259,87.48620000000001
2000-10-23,92.0,93.38,91.56,91.56,3605400,93.40458123350868,87.4615
2000-10-24,91.63,92.44,90.63,91.69,3074800,93.02356318161786,87.44965
2000-10-25,91.69,94.94,91.56,93.94,3819800,93.227215807925,87.44904999999999
2000-10-26,93.75,94.88,93.06,93.13,2484700,93.20561229505279,87.4472
2000-10-27,92.94,93.81,92.25,92.75,1953500,93.10436511837439,87.44405
2000-10-30,93.63,94.56,92.81,94.38,2194000,93.38783953651341,87.4475
2000-10-31,93.88,93.88,91.5,92.13,3487800,93.10831963951043,87.4516
2000-11-01,92.0,92.19,89.25,91.0,4723200,92.63980416406366,87.44845
2000-11-02,91.5,91.56,89.19,89.88,4693800,92.0265143498273,87.43815000000001
2000-11-03,90.25,92.19,89.31,91.69,2916300,91.95173338319901,87.4472
2000-11-06,92.06,92.94,91.5,92.06,2911300,91.97579263137702,87.48905
2000-11-07,92.0,92.88,90.75,92.13,2461300,92.01006093551545,87.52345000000001
2000-11-08,92.94,94.75,92.94,93.44,3068100,92.32782517206758,87.57315
2000-11-09,93.44,94.31,91.0,93.56,2833100,92.601641800497,87.63845
2000-11-10,93.38,95.44,92.88,94.44,3034800,93.01016584483101,87.68815000000001
2000-11-13,94.19,95.31,92.25,93.06,3179900,93.02124010153523,87.72315
